year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2014,Brazil,Fortaleza,Group G,Ghana,2,2,D,Italy won in AET,Brazil,Mexico,2014-06-21,Jun,Saturday,2010s,June
2014,Brazil,Cuiabá,Group F,Bosnia and Herzegovina,1,0,H,Italy won in AET,Nigeria,Bosnia and Herzegovina,2014-06-21,Jun,Saturday,2010s,June
2014,Brazil,Rio de Janeiro,Group H,Russia,1,0,H,Italy won in AET,Belgium,Russia,2014-06-22,Jun,Sunday,2010s,June
2014,Brazil,Porto Alegre,Group H,Algeria,2,4,A,Italy won in AET,Algeria,South Korea,2014-06-22,Jun,Sunday,2010s,June
2014,Brazil,Manaus,Group G,Portugal,2,2,D,Italy won in AET,Brazil,Mexico,2014-06-22,Jun,Sunday,2010s,June
2014,Brazil,Curitiba,Group B,Spain,0,3,A,Italy won in AET,Spain,Australia,2014-06-23,Jun,Monday,2010s,June
2014,Brazil,Brasília,Group A,Cameroon,4,1,H,Italy won in AET,Brazil,Cameroon,2014-06-23,Jun,Monday,2010s,June
2014,Brazil,Recife,Group A,Mexico,1,3,A,Italy won in AET,Mexico,Croatia,2014-06-23,Jun,Monday,2010s,June
2014,Brazil,São Paulo,Group B,Chile,2,0,H,Italy won in AET,Netherlands,Chile,2014-06-23,Jun,Monday,2010s,June
2014,Brazil,Belo Horizonte,Group D,England,0,0,D,Italy won in AET,Brazil,Mexico,2014-06-24,Jun,Tuesday,2010s,June
2014,Brazil,Fortaleza,Group C,Ivory Coast,2,1,H,Italy won in AET,Greece,Ivory Coast,2014-06-24,Jun,Tuesday,2010s,June
2014,Brazil,Natal,Group D,Uruguay,0,1,A,Italy won in AET,Uruguay,Italy,2014-06-24,Jun,Tuesday,2010s,June
2014,Brazil,Cuiabá,Group C,Colombia,1,4,A,Italy won in AET,Colombia,Japan,2014-06-24,Jun,Tuesday,2010s,June
2014,Brazil,Salvador,Group F,Iran,3,1,H,Italy won in AET,Bosnia and Herzegovina,Iran,2014-06-25,Jun,Wednesday,2010s,June
2014,Brazil,Rio de Janeiro,Group E,France,0,0,D,Italy won in AET,Brazil,Mexico,2014-06-25,Jun,Wednesday,2010s,June
2014,Brazil,Manaus,Group E,Switzerland,0,3,A,Italy won in AET,Switzerland,Honduras,2014-06-25,Jun,Wednesday,2010s,June
2014,Brazil,Porto Alegre,Group F,Argentina,2,3,A,Italy won in AET,Argentina,Nigeria,2014-06-25,Jun,Wednesday,2010s,June
2014,Brazil,Curitiba,Group H,Russia,1,1,D,Italy won in AET,Brazil,Mexico,2014-06-26,Jun,Thursday,2010s,June
2014,Brazil,São Paulo,Group H,Belgium,0,1,A,Italy won in AET,Belgium,South Korea,2014-06-26,Jun,Thursday,2010s,June
2014,Brazil,Brasília,Group G,Ghana,2,1,H,Italy won in AET,Portugal,Ghana,2014-06-26,Jun,Thursday,2010s,June
2014,Brazil,Recife,Group G,Germany,0,1,A,Italy won in AET,Germany,United States,2014-06-26,Jun,Thursday,2010s,June
2014,Brazil,Belo Horizonte,Round of 16,Chile,1,1,H,Brazil won in penalties (3 - 2),Brazil,Chile,2014-06-28,Jun,Saturday,2010s,June
2014,Brazil,Rio de Janeiro,Round of 16,Uruguay,2,0,H,Italy won in AET,Colombia,Uruguay,2014-06-28,Jun,Saturday,2010s,June
2014,Brazil,Recife,Round of 16,Greece,1,1,H,Costa Rica won in penalties (5 - 3),Costa Rica,Greece,2014-06-29,Jun,Sunday,2010s,June
2014,Brazil,Fortaleza,Round of 16,Mexico,2,1,H,Italy won in AET,Netherlands,Mexico,2014-06-29,Jun,Sunday,2010s,June
2014,Brazil,Brasília,Round of 16,Nigeria,2,0,H,Italy won in AET,France,Nigeria,2014-06-30,Jun,Monday,2010s,June
2014,Brazil,Porto Alegre,Round of 16,Algeria,2,1,H,Germany won in AET,Germany,Algeria,2014-06-30,Jun,Monday,2010s,June
2014,Brazil,São Paulo,Round of 16,Switzerland,1,0,H,Argentina won in AET,Argentina,Switzerland,2014-07-01,Jul,Tuesday,2010s,July
2014,Brazil,Salvador,Round of 16,United States,2,1,H,Belgium won in AET,Belgium,United States,2014-07-01,Jul,Tuesday,2010s,July
2014,Brazil,Fortaleza,Quarterfinals,Colombia,2,1,H,Italy won in AET,Brazil,Colombia,2014-07-04,Jul,Friday,2010s,July
2014,Brazil,Rio de Janeiro,Quarterfinals,Germany,0,1,A,Italy won in AET,Germany,France,2014-07-04,Jul,Friday,2010s,July
2014,Brazil,Brasília,Quarterfinals,Belgium,1,0,H,Italy won in AET,Argentina,Belgium,2014-07-05,Jul,Saturday,2010s,July
2014,Brazil,Salvador,Quarterfinals,Costa Rica,0,0,H,Netherlands won in penalties (4 - 3),Netherlands,Costa Rica,2014-07-05,Jul,Saturday,2010s,July
2014,Brazil,Belo Horizonte,Semifinals,Germany,1,5,A,Italy won in AET,Germany,Brazil,2014-07-08,Jul,Tuesday,2010s,July
2014,Brazil,São Paulo,Semifinals,Argentina,0,0,A,Argentina won in penalties (4 - 2),Argentina,Netherlands,2014-07-09,Jul,Wednesday,2010s,July
2014,Brazil,Brasília,Third place,Netherlands,0,3,A,Italy won in AET,Netherlands,Brazil,2014-07-12,Jul,Saturday,2010s,July
2014,Brazil,Rio de Janeiro,Final,Argentina,1,0,H,Germany won in AET,Germany,Argentina,2014-07-13,Jul,Sunday,2010s,July
2018,Russia,Moscow,Group A,Saudi Arabia,5,0,H,Italy won in AET,Russia,Saudi Arabia,2018-06-14,Jun,Thursday,2010s,June
2018,Russia,Ekaterinburg,Group A,Uruguay,0,1,A,Italy won in AET,Uruguay,Egypt,2018-06-15,Jun,Friday,2010s,June
2018,Russia,Saint Petersburg,Group B,Iran,0,1,A,Italy won in AET,Iran,Morocco,2018-06-15,Jun,Friday,2010s,June
2018,Russia,Sochi,Group B,Spain,3,3,D,Italy won in AET,Brazil,Mexico,2018-06-15,Jun,Friday,2010s,June
2018,Russia,Kazan,Group C,Australia,2,1,H,Italy won in AET,France,Australia,2018-06-16,Jun,Saturday,2010s,June
2018,Russia,Moscow,Group D,Iceland,1,1,D,Italy won in AET,Brazil,Mexico,2018-06-16,Jun,Saturday,2010s,June
2018,Russia,Saransk,Group C,Denmark,0,1,A,Italy won in AET,Denmark,Peru,2018-06-16,Jun,Saturday,2010s,June
2018,Russia,Kaliningrad,Group D,Nigeria,2,0,H,Italy won in AET,Croatia,Nigeria,2018-06-16,Jun,Saturday,2010s,June
2018,Russia,Samara,Group E,Serbia,0,1,A,Italy won in AET,Serbia,Costa Rica,2018-06-17,Jun,Sunday,2010s,June
2018,Russia,Moscow,Group F,Mexico,0,1,A,Italy won in AET,Mexico,Germany,2018-06-17,Jun,Sunday,2010s,June
2018,Russia,Rostov-on-Don,Group E,Switzerland,1,1,D,Italy won in AET,Brazil,Mexico,2018-06-17,Jun,Sunday,2010s,June
2018,Russia,Nizhny Novgorod,Group F,South Korea,1,0,H,Italy won in AET,Sweden,South Korea,2018-06-18,Jun,Monday,2010s,June
2018,Russia,Sochi,Group G,Panama,3,0,H,Italy won in AET,Belgium,Panama,2018-06-18,Jun,Monday,2010s,June
2018,Russia,Volgograd,Group G,England,1,2,A,Italy won in AET,England,Tunisia,2018-06-18,Jun,Monday,2010s,June
2018,Russia,Saransk,Group H,Japan,1,2,A,Italy won in AET,Japan,Colombia,2018-06-19,Jun,Tuesday,2010s,June
2018,Russia,Moscow,Group H,Senegal,1,2,A,Italy won in AET,Senegal,Poland,2018-06-19,Jun,Tuesday,2010s,June
2018,Russia,Saint Petersburg,Group A,Egypt,3,1,H,Italy won in AET,Russia,Egypt,2018-06-19,Jun,Tuesday,2010s,June
2018,Russia,Moscow,Group B,Morocco,1,0,H,Italy won in AET,Portugal,Morocco,2018-06-20,Jun,Wednesday,2010s,June
2018,Russia,Rostov-on-Don,Group A,Saudi Arabia,1,0,H,Italy won in AET,Uruguay,Saudi Arabia,2018-06-20,Jun,Wednesday,2010s,June
2018,Russia,Kazan,Group B,Spain,0,1,A,Italy won in AET,Spain,Iran,2018-06-20,Jun,Wednesday,2010s,June
2018,Russia,Samara,Group C,Australia,1,1,D,Italy won in AET,Brazil,Mexico,2018-06-21,Jun,Thursday,2010s,June
2018,Russia,Ekaterinburg,Group C,Peru,1,0,H,Italy won in AET,France,Peru,2018-06-21,Jun,Thursday,2010s,June
2018,Russia,Nizhny Novgorod,Group D,Croatia,0,3,A,Italy won in AET,Croatia,Argentina,2018-06-21,Jun,Thursday,2010s,June
2018,Russia,Saint Petersburg,Group E,Costa Rica,2,0,H,Italy won in AET,Brazil,Costa Rica,2018-06-22,Jun,Friday,2010s,June
2018,Russia,Volgograd,Group D,Iceland,2,0,H,Italy won in AET,Nigeria,Iceland,2018-06-22,Jun,Friday,2010s,June
2018,Russia,Kaliningrad,Group E,Switzerland,1,2,A,Italy won in AET,Switzerland,Serbia,2018-06-22,Jun,Friday,2010s,June
2018,Russia,Moscow,Group G,Tunisia,5,2,H,Italy won in AET,Belgium,Tunisia,2018-06-23,Jun,Saturday,2010s,June
2018,Russia,Rostov-on-Don,Group F,Mexico,1,2,A,Italy won in AET,Mexico,South Korea,2018-06-23,Jun,Saturday,2010s,June
2018,Russia,Sochi,Group F,Sweden,2,1,H,Italy won in AET,Germany,Sweden,2018-06-23,Jun,Saturday,2010s,June
2018,Russia,Nizhny Novgorod,Group G,Panama,5,1,H,Italy won in AET,England,Panama,2018-06-24,Jun,Sunday,2010s,June
2018,Russia,Ekaterinburg,Group H,Senegal,2,2,D,Italy won in AET,Brazil,Mexico,2018-06-24,Jun,Sunday,2010s,June
2018,Russia,Kazan,Group H,Colombia,0,3,A,Italy won in AET,Colombia,Poland,2018-06-24,Jun,Sunday,2010s,June
2018,Russia,Samara,Group A,Uruguay,0,3,A,Italy won in AET,Uruguay,Russia,2018-06-25,Jun,Monday,2010s,June
2018,Russia,Volgograd,Group A,Egypt,2,1,H,Italy won in AET,Saudi Arabia,Egypt,2018-06-25,Jun,Monday,2010s,June
2018,Russia,Kaliningrad,Group B,Morocco,2,2,D,Italy won in AET,Brazil,Mexico,2018-06-25,Jun,Monday,2010s,June
2018,Russia,Saransk,Group B,Portugal,1,1,D,Italy won in AET,Brazil,Mexico,2018-06-25,Jun,Monday,2010s,June
2018,Russia,Sochi,Group C,Peru,0,2,A,Italy won in AET,Peru,Australia,2018-06-26,Jun,Tuesday,2010s,June
2018,Russia,Moscow,Group C,France,0,0,D,Italy won in AET,Brazil,Mexico,2018-06-26,Jun,Tuesday,2010s,June
2018,Russia,Saint Petersburg,Group D,Argentina,1,2,A,Italy won in AET,Argentina,Nigeria,2018-06-26,Jun,Tuesday,2010s,June
2018,Russia,Rostov-on-Don,Group D ,Croatia,1,2,A,Italy won in AET,Croatia,Iceland,2018-06-26,Jun,Tuesday,2010s,June
2018,Russia,Kazan,Group F,Germany,2,0,H,Italy won in AET,South Korea,Germany,2018-06-27,Jun,Wednesday,2010s,June
2018,Russia,Ekaterinburg,Group F,Sweden,0,3,A,Italy won in AET,Sweden,Mexico,2018-06-27,Jun,Wednesday,2010s,June
2018,Russia,Moscow,Group E,Brazil,0,2,A,Italy won in AET,Brazil,Serbia,2018-06-27,Jun,Wednesday,2010s,June
2018,Russia,Nizhny Novgorod,Group E,Costa Rica,2,2,D,Italy won in AET,Brazil,Mexico,2018-06-27,Jun,Wednesday,2010s,June
2018,Russia,Volgograd,Group H,Poland,0,1,A,Italy won in AET,Poland,Japan,2018-06-28,Jun,Thursday,2010s,June
2018,Russia,Samara,Group H,Colombia,0,1,A,Italy won in AET,Colombia,Senegal,2018-06-28,Jun,Thursday,2010s,June
2018,Russia,Saransk,Group G,Tunisia,1,2,A,Italy won in AET,Tunisia,Panama,2018-06-28,Jun,Thursday,2010s,June
2018,Russia,Kaliningrad,Group G,Belgium,0,1,A,Italy won in AET,Belgium,England,2018-06-28,Jun,Thursday,2010s,June
2018,Russia,Kazan,Round of 16,Argentina,4,3,H,Italy won in AET,France,Argentina,2018-06-30,Jun,Saturday,2010s,June
2018,Russia,Sochi,Round of 16,Portugal,2,1,H,Italy won in AET,Uruguay,Portugal,2018-06-30,Jun,Saturday,2010s,June
2018,Russia,Moscow,Round of 16,Spain,1,1,H,Russia won in penalties (4 - 3),Russia,Spain,2018-07-01,Jul,Sunday,2010s,July
2018,Russia,Nizhny Novgorod,Round of 16,Denmark,1,1,H,Croatia won in penalties (3- 2),Croatia,Denmark,2018-07-01,Jul,Sunday,2010s,July
2018,Russia,Samara,Round of 16,Mexico,2,0,H,Italy won in AET,Brazil,Mexico,2018-07-02,Jul,Monday,2010s,July
2018,Russia,Rostov-on-Don,Round of 16,Japan,3,2,H,Italy won in AET,Belgium,Japan,2018-07-02,Jul,Monday,2010s,July
2018,Russia,Saint Petersburg,Round of 16,Switzerland,1,0,H,Italy won in AET,Sweden,Switzerland,2018-07-03,Jul,Tuesday,2010s,July
2018,Russia,Moscow,Round of 16,England,1,1,A,England won in penalties (4 -3),England,Columbia,2018-07-03,Jul,Tuesday,2010s,July
2018,Russia,Nizhny Novgorod,Quarterfinals,France,0,2,A,Italy won in AET,France,Uruguay,2018-07-06,Jul,Friday,2010s,July
2018,Russia,Kazan,Quarterfinals,Belgium,1,2,A,Italy won in AET,Belgium,Brazil,2018-07-06,Jul,Friday,2010s,July
2018,Russia,Samara,Quarterfinals,England,0,2,A,Italy won in AET,England,Sweden,2018-07-07,Jul,Saturday,2010s,July
2018,Russia,Sochi,Quarterfinals,Croatia,2,2,A,Croatia won in penalties (4 - 3),Croatia,Russia,2018-07-07,Jul,Saturday,2010s,July
2018,Russia,Saint Petersburg,Semifinals,Belgium,1,0,H,Italy won in AET,France,Belgium,2018-07-10,Jul,Tuesday,2010s,July
2018,Russia,Moscow,Semifinals,England,2,1,H,Croatia won in AET,Croatia,England,2018-07-11,Jul,Wednesday,2010s,July
2018,Russia,Saint Petersburg,Third place,England,2,0,H,Italy won in AET,Belgium,England,2018-07-14,Jul,Saturday,2010s,July
2018,Russia,Moscow,Final,Croatia,4,2,H,Italy won in AET,France,Croatia,2018-07-15,Jul,Sunday,2010s,July
