year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1966,England,Sunderland,Group 4,Italy,0,2,A,Italy won in AET,Italy,Chile,1966-07-13,Jul,Wednesday,1960s,July
1966,England,London,Group 1,Mexico,1,1,D,Italy won in AET,Brazil,Mexico,1966-07-13,Jul,Wednesday,1960s,July
1966,England,Manchester,Group 3,Portugal,1,3,A,Italy won in AET,Portugal,Hungary,1966-07-13,Jul,Wednesday,1960s,July
1966,England,Liverpool,Group 3,Hungary,1,3,A,Italy won in AET,Hungary,Brazil,1966-07-15,Jul,Friday,1960s,July
1966,England,Middlesbrough,Group 4,North Korea,1,1,D,Italy won in AET,Brazil,Mexico,1966-07-15,Jul,Friday,1960s,July
1966,England,London,Group 1,Uruguay,1,2,A,Italy won in AET,Uruguay,France,1966-07-15,Jul,Friday,1960s,July
1966,England,Sheffield,Group 2,Switzerland,2,1,H,Italy won in AET,Spain,Switzerland,1966-07-15,Jul,Friday,1960s,July
1966,England,Birmingham,Group 2,West Germany,0,0,D,Italy won in AET,Brazil,Mexico,1966-07-16,Jul,Saturday,1960s,July
1966,England,Manchester,Group 3,Portugal,0,3,A,Italy won in AET,Portugal,Bulgaria,1966-07-16,Jul,Saturday,1960s,July
1966,England,London,Group 1,Mexico,2,0,H,Italy won in AET,England,Mexico,1966-07-16,Jul,Saturday,1960s,July
1966,England,Sunderland,Group 4,Soviet Union,0,1,A,Italy won in AET,Soviet Union,Italy,1966-07-16,Jul,Saturday,1960s,July
1966,England,Sheffield,Group 2,Switzerland,2,0,H,Italy won in AET,Argentina,Switzerland,1966-07-19,Jul,Tuesday,1960s,July
1966,England,Liverpool,Group 3,Portugal,1,3,A,Italy won in AET,Portugal,Brazil,1966-07-19,Jul,Tuesday,1960s,July
1966,England,Middlesbrough,Group 4,North Korea,0,1,A,Italy won in AET,North Korea,Italy,1966-07-19,Jul,Tuesday,1960s,July
1966,England,London,Group 1,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,1966-07-19,Jul,Tuesday,1960s,July
1966,England,Manchester,Group 3,Hungary,1,3,A,Italy won in AET,Hungary,Bulgaria,1966-07-20,Jul,Wednesday,1960s,July
1966,England,Sunderland,Group 4,Soviet Union,1,2,A,Italy won in AET,Soviet Union,Chile,1966-07-20,Jul,Wednesday,1960s,July
1966,England,London,Group 1,France,2,0,H,Italy won in AET,England,France,1966-07-20,Jul,Wednesday,1960s,July
1966,England,Birmingham,Group 2,Spain,2,1,H,Italy won in AET,West Germany,Spain,1966-07-20,Jul,Wednesday,1960s,July
1966,England,London,Quarterfinals,Argentina,1,0,H,Italy won in AET,England,Argentina,1966-07-23,Jul,Saturday,1960s,July
1966,England,Sheffield,Quarterfinals,Uruguay,4,0,H,Italy won in AET,West Germany,Uruguay,1966-07-23,Jul,Saturday,1960s,July
1966,England,Sunderland,Quarterfinals,Soviet Union,1,2,A,Italy won in AET,Soviet Union,Hungary,1966-07-23,Jul,Saturday,1960s,July
