year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1978,0,76,5,8,67,0.0,0.0,1,no win conditions,17,22,1978-06-07,1,6
1978,0,25,6,35,59,0.1,0.1,1,no win conditions,17,22,1978-06-07,1,6
1978,0,78,6,44,52,0.0,0.0,1,no win conditions,17,22,1978-06-07,1,6
1978,0,16,3,2,37,0.0,0.1,0,no win conditions,28,2,1978-06-10,1,2
1978,0,76,3,27,33,0.3,0.1,2,no win conditions,22,36,1978-06-10,1,2
1978,0,25,4,78,72,0.0,0.0,1,no win conditions,17,22,1978-06-10,1,2
1978,0,117,4,42,53,0.1,0.3,0,no win conditions,41,46,1978-06-10,1,2
1978,0,76,5,4,8,0.0,0.1,0,no win conditions,6,4,1978-06-11,1,3
1978,0,25,6,35,52,0.1,0.4,0,no win conditions,40,38,1978-06-11,1,3
1978,0,78,6,44,59,0.2,0.3,0,no win conditions,48,48,1978-06-11,1,3
1978,0,16,5,67,68,0.1,0.0,2,no win conditions,56,72,1978-06-11,1,3
1978,0,117,10,2,53,0.2,0.0,2,no win conditions,1,57,1978-06-14,1,6
1978,0,25,9,4,44,0.1,0.5,0,no win conditions,34,4,1978-06-14,1,6
1978,0,78,10,8,52,0.3,0.0,2,no win conditions,6,56,1978-06-14,1,6
1978,0,16,9,78,37,0.0,0.0,1,no win conditions,17,22,1978-06-14,1,6
1978,0,117,10,2,8,0.0,0.0,1,no win conditions,17,22,1978-06-18,1,3
1978,0,16,9,4,37,0.0,0.1,0,no win conditions,28,4,1978-06-18,1,3
1978,0,25,9,78,44,0.2,0.2,1,no win conditions,17,22,1978-06-18,1,3
1978,0,78,10,52,53,0.0,0.1,0,no win conditions,41,56,1978-06-18,1,3
1978,0,117,10,2,52,0.5,0.0,2,no win conditions,1,56,1978-06-21,1,6
1978,0,25,9,4,79,0.3,0.2,2,no win conditions,3,83,1978-06-21,1,6
1978,0,78,10,8,53,0.3,0.1,2,no win conditions,6,57,1978-06-21,1,6
1978,0,16,9,38,44,0.1,0.2,0,no win conditions,34,41,1978-06-21,1,6
1978,0,16,21,8,37,0.2,0.1,2,no win conditions,6,41,1978-06-24,1,2
1978,0,16,1,2,44,0.3,0.1,2,Argentina won in AET,1,48,1978-06-25,1,3
1982,12,3,5,2,5,0.0,0.1,0,no win conditions,4,2,1982-06-13,1,3
1982,12,132,8,8,66,0.2,0.1,2,no win conditions,6,70,1982-06-14,1,1
1982,12,151,3,38,53,0.0,0.0,1,no win conditions,17,22,1982-06-14,1,1
