year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2002,South Korea,Daejeon,Round of 16,South Korea,Italy,2,1,H,South Korea won in AET,South Korea,Italy,2002-06-18,Jun,Tuesday,2000s,June
2002,Japan,Fukuroi,Quarterfinals,England,Brazil,1,2,A,no win conditions,Brazil,England,2002-06-21,Jun,Friday,2000s,June
2002,South Korea,Ulsan,Quarterfinals,Germany,United States,1,0,H,no win conditions,Germany,United States,2002-06-21,Jun,Friday,2000s,June
2002,South Korea,Gwangju,Quarterfinals,South Korea,Spain,0,0,H,South Korea won in penalties (5 - 3),South Korea,Spain,2002-06-22,Jun,Saturday,2000s,June
2002,Japan,Osaka,Quarterfinals,Senegal,Turkey,0,1,A,Turkey won in AET,Turkey,Senegal,2002-06-22,Jun,Saturday,2000s,June
2002,South Korea,Seoul,Semifinals,South Korea,Germany,0,1,A,no win conditions,Germany,South Korea,2002-06-25,Jun,Tuesday,2000s,June
2002,Japan,Saitama,Semifinals,Brazil,Turkey,1,0,H,no win conditions,Brazil,Turkey,2002-06-26,Jun,Wednesday,2000s,June
2002,South Korea,Daegu,Third place,South Korea,Turkey,2,3,A,no win conditions,Turkey,South Korea,2002-06-29,Jun,Saturday,2000s,June
2002,Japan,Yokohama,Final,Germany,Brazil,0,2,A,no win conditions,Brazil,Germany,2002-06-30,Jun,Sunday,2000s,June
2006,Germany,Munich,Group A,Germany,Costa Rica,4,2,H,no win conditions,Germany,Costa Rica,2006-06-09,Jun,Friday,2000s,June
2006,Germany,Gelsenkirchen,Group A,Poland,Ecuador,0,2,A,no win conditions,Ecuador,Poland,2006-06-09,Jun,Friday,2000s,June
2006,Germany,Hamburg,Group C,Argentina,Ivory Coast,2,1,H,no win conditions,Argentina,Ivory Coast,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Frankfurt am Main,Group B,England,Paraguay,1,0,H,no win conditions,England,Paraguay,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Dortmund,Group B,Trinidad and Tobago,Sweden,0,0,D,no win conditions,Draw match,Draw match,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Cologne,Group D,Angola,Portugal,0,1,A,no win conditions,Portugal,Angola,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Nuremberg,Group D,Mexico,Iran,3,1,H,no win conditions,Mexico,Iran,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Leipzig,Group C,Serbia,Netherlands,0,1,A,no win conditions,Netherlands,Serbia,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Kaiserslautern,Group F,Australia,Japan,3,1,H,no win conditions,Australia,Japan,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Hanover,Group E,Italy,Ghana,2,0,H,no win conditions,Italy,Ghana,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Gelsenkirchen,Group E,United States,Czech Republic,0,3,A,no win conditions,Czech Republic,United States,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Berlin,Group F,Brazil,Croatia,1,0,H,no win conditions,Brazil,Croatia,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Stuttgart,Group G,France,Switzerland,0,0,D,no win conditions,Draw match,Draw match,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Frankfurt am Main,Group G,South Korea,Togo,2,1,H,no win conditions,South Korea,Togo,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Dortmund,Group A,Germany,Poland,1,0,H,no win conditions,Germany,Poland,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Leipzig,Group H,Spain,Ukraine,4,0,H,no win conditions,Spain,Ukraine,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Munich,Group H,Tunisia,Saudi Arabia,2,2,D,no win conditions,Draw match,Draw match,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Hamburg,Group A,Ecuador,Costa Rica,3,0,H,no win conditions,Ecuador,Costa Rica,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Nuremberg,Group B,England,Trinidad and Tobago,2,0,H,no win conditions,England,Trinidad and Tobago,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Berlin,Group B,Sweden,Paraguay,1,0,H,no win conditions,Sweden,Paraguay,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Gelsenkirchen,Group C,Argentina,Serbia,5,0,H,no win conditions,Argentina,Serbia,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Hanover,Group D,Mexico,Angola,0,0,D,no win conditions,Draw match,Draw match,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Stuttgart,Group C,Netherlands,Ivory Coast,2,1,H,no win conditions,Netherlands,Ivory Coast,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Cologne,Group E,Czech Republic,Ghana,0,2,A,no win conditions,Ghana,Czech Republic,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Kaiserslautern,Group E,Italy,United States,1,1,D,no win conditions,Draw match,Draw match,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Frankfurt am Main,Group D,Portugal,Iran,2,0,H,no win conditions,Portugal,Iran,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Munich,Group F,Brazil,Australia,2,0,H,no win conditions,Brazil,Australia,2006-06-18,Jun,Sunday,2000s,June
2006,Germany,Leipzig,Group G,France,South Korea,1,1,D,no win conditions,Draw match,Draw match,2006-06-18,Jun,Sunday,2000s,June
